'1';[];'166';'5,00';155;'2163';'916';'44662';'44878';'0';'tri.bmp';'e';'0';'48';'45145';'47314';'47497';'48432';[];[]
'2';[];'266';'8,00';222;'2464';'515';'49900';'50100';'203';'cir3.bmp';'p';'0';'0';'50367';'52837';'53121';'53655';[];[]
'3';[];'216';'8,10';290;'2167';'862';'55123';'55323';'178';'cir1.bmp';'p';'0';'0';'55590';'57759';'57977';'58844';[];[]
'4';[];'266';'8,10';358;'2498';'481';'60312';'60513';'0';'tri.bmp';'e';'0';'0';'60780';'63283';'63566';'64051';[];[]
'5';[];'166';'8,10';425;'2268';'811';'65519';'65719';'0';'tri.bmp';'e';'0';'0';'65986';'68255';'68439';'69256';[];[]
'6';[];'216';'11,10';492;'2439';'590';'70725';'70925';'198';'cir3.bmp';'p';'0';'0';'71192';'73645';'73878';'74479';[];[]
'7';[];'166';'11,10';560;'2493';'586';'75947';'76148';'0';'cir2.bmp';'p';'0';'13';'76415';'78918';'79101';'79702';[];[]
'8';[];'216';'11,10';627;'2367';'662';'81170';'81371';'189';'sqr2.bmp';'n';'0';'53';'81638';'84007';'84241';'84908';[];[]
'9';[];'266';'11,10';695;'2062';'917';'86376';'86577';'199';'sqr3.bmp';'n';'0';'0';'86844';'88913';'89196';'90131';[];[]
'10';[];'216';'14,10';762;'2461';'568';'91599';'91799';'188';'cir3.bmp';'p';'0';'0';'92066';'94536';'94770';'95354';[];[]
'11';[];'166';'11,10';830;'2150';'929';'96822';'97022';'0';'sqr3.bmp';'n';'0';'22';'97289';'99442';'99625';'100560';[];[]
'12';[];'216';'11,10';898;'2163';'866';'102028';'102228';'0';'cir1.bmp';'p';'0';'0';'102495';'104665';'104898';'105783';[];[]
'13';[];'266';'11,10';965;'2248';'731';'107251';'107451';'0';'tri.bmp';'e';'0';'0';'107718';'109971';'110255';'110990';[];[]
'14';[];'166';'11,10';1032;'2103';'976';'112457';'112657';'0';'tri.bmp';'e';'0';'934';'112924';'115027';'115210';'116195';[];[]
'15';[];'216';'11,10';1099;'2405';'624';'117663';'117863';'193';'sqr2.bmp';'n';'0';'260';'118130';'120550';'120784';'121418';[];[]
'16';[];'166';'10,50';1167;'2013';'1066';'122886';'123086';'0';'sqr2.bmp';'n';'0';'37';'123353';'125372';'125541';'126624';[];[]
'17';[];'266';'10,50';1234;'2309';'670';'128092';'128292';'109';'sqr3.bmp';'n';'0';'0';'128559';'130879';'131163';'131847';[];[]
'18';[];'216';'10,50';1302;'2463';'566';'133315';'133515';'173';'sqr3.bmp';'n';'0';'0';'133782';'136252';'136485';'137069';[];[]
'19';[];'266';'13,50';1370;'2450';'529';'138522';'138738';'184';'cir3.bmp';'p';'0';'0';'139005';'141458';'141742';'142276';[];[]
'20';[];'266';'13,50';1438;'2138';'841';'143744';'143944';'0';'tri.bmp';'e';'0';'0';'144211';'146364';'146647';'147498';[];[]
'21';[];'266';'13,50';1505;'2313';'666';'148951';'149167';'181';'sqr1.bmp';'n';'0';'0';'149434';'151753';'152022';'152705';[];[]
'22';[];'266';'13,60';1573;'2457';'522';'154173';'154373';'224';'cir1.bmp';'p';'0';'401';'154640';'157110';'157393';'157927';[];[]
'23';[];'266';'14,20';1641;'2293';'686';'159396';'159596';'198';'cir2.bmp';'p';'0';'245';'159863';'162166';'162449';'163150';[];[]
'24';[];'166';'14,20';1709;'2266';'813';'164619';'164819';'0';'cir2.bmp';'p';'0';'39';'165086';'167355';'167539';'168356';[];[]
'25';[];'266';'14,20';1776;'2279';'700';'169825';'170025';'0';'tri.bmp';'e';'0';'0';'170292';'172578';'172862';'173579';[];[]
'26';[];'266';'14,20';1843;'2417';'562';'175048';'175248';'0';'tri.bmp';'e';'0';'0';'175515';'177934';'178203';'178769';[];[]
'27';[];'166';'14,20';1910;'2198';'881';'180237';'180437';'0';'cir3.bmp';'p';'0';'3';'180704';'182907';'183090';'183975';[];[]
'28';[];'216';'14,80';1978;'2457';'572';'185443';'185643';'208';'cir2.bmp';'p';'0';'0';'185910';'188380';'188614';'189198';[];[]
